                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.65467,                0.41303,                0.84654,                0.61171,                0.58458,                0.53302,                0.35736,                 1.0025,                0.63512,                 0.9633,             0.00078931,             0.00078931,             0.00078931
                    136,                0.64595,                0.41821,                0.84248,                0.53421,                0.50158,                0.53067,                0.36367,                 1.0095,                0.63397,                0.96787,             0.00078841,             0.00078841,             0.00078841
                    137,                0.66624,                0.42824,                0.84831,                0.73925,                 0.5019,                0.57205,                0.40465,                0.99783,                0.64468,                0.95799,             0.00078751,             0.00078751,             0.00078751
                    138,                0.65069,                0.42273,                0.84432,                0.76658,                0.55369,                0.59554,                0.43734,                0.98788,                0.65277,                0.95197,             0.00078661,             0.00078661,             0.00078661
                    139,                0.67463,                0.43094,                0.87884,                0.62138,                0.49807,                0.53768,                0.37048,                0.99842,                0.65529,                0.96152,             0.00078571,             0.00078571,             0.00078571
                    140,                0.66374,                0.41761,                0.84734,                0.65619,                0.50115,                0.55312,                0.37249,                0.98852,                0.64342,                0.95486,             0.00078481,             0.00078481,             0.00078481
                    141,                0.64824,                0.41034,                0.84232,                0.60955,                0.50535,                0.52659,                0.34555,                 1.0077,                0.64869,                0.97506,             0.00078391,             0.00078391,             0.00078391
                    142,                0.63573,                0.40531,                 0.8387,                0.71615,                 0.4672,                  0.557,                0.37798,                0.99044,                0.63521,                0.95552,             0.00078301,             0.00078301,             0.00078301
                    143,                0.64473,                0.40648,                0.83833,                0.66003,                0.57036,                0.57692,                0.38222,                 1.0008,                0.64157,                0.95544,             0.00078211,             0.00078211,             0.00078211
                    144,                0.64367,                0.40653,                0.83994,                0.59861,                0.52143,                0.56722,                0.38945,                 1.0173,                0.64881,                0.96386,             0.00078121,             0.00078121,             0.00078121
                    145,                0.63398,                0.39938,                0.84907,                0.64832,                  0.553,                0.58448,                0.39818,                0.99654,                0.63296,                0.96098,             0.00078031,             0.00078031,             0.00078031
                    146,                0.64404,                0.40178,                0.83923,                0.65009,                0.55715,                0.56393,                0.39349,                0.99892,                0.63626,                0.96092,             0.00077941,             0.00077941,             0.00077941
                    147,                0.64369,                0.40757,                0.84143,                0.73858,                0.51404,                0.58502,                0.41081,                0.98964,                0.63106,                 0.9565,             0.00077851,             0.00077851,             0.00077851
